AGE5P Age in Five Year Groups,0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95-99 years,100 years and over,Total
Albury,3568,3647,3356,3350,3463,3759,3558,3541,3348,3283,3430,3340,3494,3203,2839,2095,1447,832,420,121,19,56093
Armidale,1571,1757,1914,2335,2325,1960,1786,1713,1471,1574,1627,1853,1720,1501,1375,1127,795,447,222,48,4,29124
Ballina,2205,2527,2807,2423,1882,1946,2322,2596,2658,2891,3010,3129,3372,3500,3228,2314,1648,1053,592,174,25,46296
Balranald,135,141,162,117,102,118,152,97,108,136,151,166,163,168,119,56,58,35,13,4,0,2208
Bathurst,2479,2752,2938,2898,2880,2764,2919,2663,2463,2670,2715,2651,2686,2390,2104,1501,1022,636,323,80,8,43567
Bayside (NSW),9986,8546,7955,7773,13717,18164,18370,14992,11557,10742,9882,9352,8143,7090,6399,4875,3834,2359,1109,312,22,175184
Bega Valley,1507,1855,2067,1760,1284,1430,1605,1694,1646,2002,2343,2852,3483,3336,2885,1880,1223,646,326,107,9,35942
Bellingen,542,753,920,708,400,412,631,649,652,850,916,1065,1196,1158,948,647,405,261,108,29,4,13253
Berrigan,378,444,513,444,286,348,381,365,431,482,484,523,752,780,812,528,371,189,117,29,0,8665
Blacktown,29907,31388,28829,24375,26427,27812,31453,36436,30947,25402,22165,20158,17714,14786,12240,7622,4815,2670,1236,359,38,396776
Bland,349,341,394,291,251,312,273,306,325,317,328,371,421,362,324,228,184,100,53,18,0,5547
Blayney,448,518,554,462,314,352,438,391,383,462,544,538,572,476,400,291,185,92,63,5,0,7497
Blue Mountains,3889,4705,5037,4665,3421,3098,4028,4678,4905,5489,5472,5408,5794,5533,4984,3339,1921,1134,462,150,15,78121
Bogan,156,172,151,147,140,150,169,119,103,160,174,188,132,109,112,117,91,43,22,4,0,2467
Bourke,178,172,165,134,134,150,168,148,122,128,173,164,158,102,110,67,46,21,15,0,0,2340
Brewarrina,88,97,91,80,76,90,118,78,49,63,104,109,100,84,49,38,18,5,9,5,0,1356
Broken Hill,972,995,1033,971,896,1093,1087,989,894,944,1066,1218,1348,1193,1023,746,527,359,187,41,3,17588
Burwood,1532,1593,1675,1829,5006,4885,3917,2860,2141,2257,2245,2137,1970,1600,1424,1037,922,663,368,140,6,40217
Byron,1733,1987,2097,1695,1483,2127,2745,2649,2500,2695,2506,2494,2700,2558,1925,1053,579,337,192,56,3,36116
Cabonne,751,967,1077,876,628,509,627,762,780,916,911,993,996,822,857,598,366,220,84,24,4,13766
Camden,11190,10016,8890,7498,6987,8690,10766,10410,8423,7853,6429,5538,4790,3899,3295,2085,1343,779,329,101,15,119325
Campbelltown (NSW),13106,13457,12302,10930,11285,12147,13457,14418,12172,10694,9592,10027,9472,8107,6709,4169,2523,1231,543,159,13,176519
Canada Bay,4851,4635,4611,4102,5395,6877,8006,7390,6284,6059,5675,5470,4782,4241,3830,2725,2020,1262,727,202,26,89177
Canterbury-Bankstown,24664,24804,24009,22662,25124,27651,27793,27026,24045,23222,22450,21938,19985,16245,13514,9929,7576,5126,2499,668,80,371006
Carrathool,210,202,157,141,160,238,236,173,164,161,209,189,199,153,102,68,57,38,21,4,0,2866
Central Coast (NSW),19421,21084,21847,20276,18486,18552,19570,20786,20567,21944,22238,22485,22398,20754,19938,15241,10463,6229,3326,873,120,346596
Central Darling,88,120,99,107,106,118,99,89,91,111,110,120,122,121,100,72,35,13,6,0,0,1725
Cessnock,4283,4333,4220,3736,3846,4612,4492,4195,3695,3777,3970,3703,3936,3494,3081,1928,1156,727,336,91,9,63632
Clarence Valley,2578,2883,3190,2731,2369,2450,2753,2704,2698,3129,3394,3976,4436,4352,4005,2868,1847,1098,512,132,10,54115
Cobar,279,288,267,231,228,282,312,290,224,221,219,275,280,221,174,123,84,48,25,5,0,4059
Coffs Harbour,4060,4734,5172,4505,3601,4251,4534,4738,4535,4889,4933,5064,5518,5376,4810,3365,2357,1391,685,222,26,78759
Coolamon,240,315,307,293,179,216,222,207,236,245,286,290,307,296,270,192,142,93,30,12,0,4385
Coonamble,309,255,250,207,184,256,207,233,164,192,248,265,247,219,189,134,101,50,24,4,0,3732
Cootamundra-Gundagai,607,662,714,636,490,502,496,541,553,661,645,784,894,911,851,593,483,219,131,25,6,11403
Cowra,684,739,741,719,647,675,613,596,608,722,838,880,876,911,958,617,487,254,118,34,4,12724
Cumberland,16450,16043,14394,12646,18657,22015,21619,20123,15958,13285,12713,12308,10858,8887,7244,5162,3645,2079,1043,298,29,235439
Dubbo,3888,3825,3799,3148,3086,4267,4054,3564,3104,3049,3230,3176,3251,2758,2410,1803,1327,729,356,92,8,54922
Dungog,509,614,649,525,394,394,473,585,531,588,655,759,771,697,556,386,273,120,56,15,4,9541
Edward River,444,494,543,480,398,459,406,419,424,499,528,594,671,606,531,361,315,170,88,27,4,8456
Eurobodalla,1648,1794,2173,1898,1342,1550,1617,1761,1787,2203,2562,3076,3850,4055,3773,2467,1533,912,460,117,13,40593
Fairfield,10848,12701,13693,14439,14686,14190,12855,12655,12304,13316,13872,14129,13816,11358,9014,5837,4319,2688,1353,361,46,208475
Federation,599,666,762,659,534,570,561,544,607,708,819,914,1042,1083,1089,748,536,290,138,43,0,12899
Forbes,548,642,660,539,482,501,502,506,499,489,576,643,576,557,573,440,306,191,76,9,4,9319
Georges River,7632,8427,8206,8009,11587,12247,11421,11035,9651,9571,9492,9668,8986,7536,6365,4740,3487,2499,1295,387,47,152274
Gilgandra,258,274,289,219,160,213,231,221,219,245,290,318,334,298,259,184,166,81,39,11,0,4295
Glen Innes Severn,385,464,514,493,355,457,400,413,427,526,552,638,778,681,689,529,328,202,84,10,3,8931
Goulburn Mulwaree,1829,1923,2028,1775,1698,2008,2093,1957,1781,1967,2014,2196,2083,1957,1781,1287,829,486,282,54,4,32053
Greater Hume,653,736,862,797,433,459,478,641,610,654,724,813,853,782,703,464,285,129,76,21,0,11157
Griffith,1746,1784,1733,1709,1560,1950,2067,1762,1636,1679,1749,1654,1561,1343,1030,758,673,428,200,55,7,27086
Gunnedah,949,1021,926,681,689,867,879,785,720,684,711,760,813,690,584,464,387,222,88,22,0,12929
Gwydir,225,331,308,211,169,194,200,262,236,277,338,363,396,364,376,277,205,100,55,12,4,4910
Hawkesbury,4152,4238,4459,4391,4245,4409,4428,4007,3906,4459,4720,4515,4134,3341,3022,2161,1398,760,352,93,15,67207
Hay,167,150,145,139,168,181,133,133,132,138,195,267,254,170,160,143,106,69,16,3,0,2882
Hilltops,1128,1226,1284,1123,882,971,996,976,1006,1076,1214,1371,1373,1264,1322,897,607,323,168,45,4,19254
Hornsby,7607,10293,10958,9774,8346,6690,7708,10607,11630,11385,10620,9818,8912,7600,6629,5117,3785,2386,1385,473,75,151811
Hunters Hill,582,760,978,1027,704,461,534,713,821,988,1034,920,796,757,740,591,412,335,290,102,10,13559
Inner West,9148,8834,8723,7422,11284,17112,18130,16364,14167,13736,12368,10858,8990,7628,6593,4634,3271,2179,1068,285,42,182818
Inverell,1026,1171,1229,1116,909,998,972,936,898,1036,1130,1160,1206,1099,1071,812,609,315,129,25,7,17853
Junee,331,348,376,322,371,468,422,468,363,434,406,408,460,388,338,250,142,84,34,10,0,6415
Kempsey,1548,1669,1858,1694,1447,1494,1568,1499,1515,1659,1909,2253,2520,2458,2283,1498,947,512,254,97,6,30688
Kiama,1149,1356,1295,1281,954,953,1040,1272,1218,1376,1388,1577,1860,1955,1641,1261,732,469,250,63,0,23074
Ku-ring-gai,5602,8624,9922,9124,6968,4419,4903,7569,8874,9405,9428,8270,6962,5993,5718,4701,3447,2368,1322,418,33,124076
Kyogle,402,483,600,480,314,353,354,451,455,542,629,842,962,861,722,396,281,145,64,18,4,9359
Lachlan,398,470,431,316,267,350,362,372,312,344,357,366,450,373,317,232,180,137,55,9,4,6094
Lake Macquarie,11966,13451,13344,12340,11654,11610,12552,13228,12574,13413,13362,13417,13864,13042,12111,9389,6233,3851,1931,462,62,213845
Lane Cove,2403,2531,2245,2017,1963,2875,3567,3716,3236,2763,2474,2148,1845,1635,1479,1114,713,420,226,72,10,39438
Leeton,703,800,920,909,618,643,719,654,596,656,727,716,736,556,506,388,319,189,71,28,0,11452
Lismore,2106,2570,2904,2657,2285,2376,2375,2529,2667,2929,3055,3227,3411,3090,2447,1545,1075,609,367,96,8,44334
Lithgow,958,1182,1277,1104,1010,1098,1174,1101,1051,1286,1325,1579,1589,1468,1436,1066,604,330,158,35,3,20842
Liverpool,16664,17670,17236,16212,16481,16425,17030,17880,16101,15301,14296,13565,11601,8958,7029,4845,3206,1846,860,199,33,233446
Liverpool Plains,385,453,495,446,330,318,386,415,372,452,508,535,603,574,499,363,233,121,55,14,4,7551
Lockhart,204,238,242,199,136,130,131,156,157,188,200,269,257,236,193,156,95,70,38,9,4,3319
Maitland,6220,6571,6480,5568,5471,6223,6722,6313,5728,5539,5451,5035,4906,4339,3837,2696,1642,921,456,105,9,90226
Mid-Coast,3907,4759,5408,4668,3453,3673,3929,4102,4284,5122,5795,6930,8489,8799,8846,6459,4078,2361,1197,295,37,96579
Mid-Western,1528,1829,1752,1438,1092,1389,1558,1545,1436,1553,1779,1772,1723,1506,1434,1106,677,389,158,49,0,25713
Moree Plains,815,936,870,678,795,880,820,738,765,740,868,903,822,632,605,412,279,137,40,14,0,12751
Mosman,1220,1522,1871,1619,1346,1313,1625,1814,1828,2109,2125,1960,1766,1538,1535,1351,859,519,294,88,17,28329
Murray River,664,704,798,643,449,544,645,649,628,729,802,882,1048,1031,1000,765,463,261,112,23,7,12850
Murrumbidgee,186,179,205,168,171,178,230,166,184,188,224,267,284,223,210,126,90,45,28,7,0,3353
Muswellbrook,1028,1229,1200,1053,870,1130,1174,1080,1029,1030,1086,1125,857,778,670,464,280,169,66,17,0,16357
Nambucca Valley,978,1021,1208,1071,705,834,839,910,918,1115,1195,1566,1894,1816,1650,1191,762,429,215,74,3,20407
Narrabri,764,873,910,690,714,766,796,706,683,761,788,908,918,719,626,477,312,197,87,23,0,12703
Narrandera,324,398,425,317,252,293,256,315,307,328,343,379,440,339,351,274,166,111,67,16,7,5698
Narromine,405,457,485,370,301,347,372,367,318,360,347,420,425,374,368,295,177,114,42,13,0,6360
Newcastle,8792,9317,9254,9722,14428,14054,12883,11609,10244,10471,10195,9857,9415,8175,7090,5226,3738,2492,1426,445,58,168873
North Sydney,3435,2870,2421,2145,3361,6650,8002,6876,5461,4570,4228,3794,3644,3225,3193,2376,1473,742,366,105,6,68950
Northern Beaches,14169,16274,18291,16263,13740,13280,15599,17078,18426,20517,19492,17513,14968,12539,11674,9722,6773,4137,2305,706,101,263554
Oberon,264,321,371,270,254,258,280,298,305,337,403,416,413,413,433,272,160,78,23,9,0,5580
Orange,3052,3140,3192,2662,2407,2894,2999,2966,2499,2643,2466,2408,2367,2137,2114,1493,1017,685,288,72,8,43512
Parkes,910,968,1056,875,788,814,813,791,771,807,868,949,968,839,708,557,439,254,139,39,3,14361
Parramatta,16047,16632,13966,11542,16999,23419,26515,26187,19343,15589,13506,12955,11834,10135,8052,5817,4130,2498,1168,356,38,256729
Penrith,15640,15608,14869,13523,14793,16191,16790,16905,14869,13990,12864,11928,11407,9349,8067,5042,3124,1709,750,229,27,217664
Port Macquarie-Hastings,3849,4688,5324,4938,3865,3735,3902,4255,4397,5070,5382,5715,6356,6448,6742,5298,3388,2092,1030,258,28,86762
Port Stephens,3630,4423,4844,4347,3589,3357,3692,3939,3941,4616,4655,5190,5574,5564,5492,4165,2403,1174,536,137,17,75276
Queanbeyan-Palerang,4225,4114,4018,3427,3400,4265,5082,4799,4206,4458,4742,4327,3699,2910,2374,1518,961,508,213,57,5,63304
Randwick,6832,6965,6868,6677,9497,12182,12393,10734,9613,9051,8412,7566,6521,5618,5044,3987,2922,1943,1078,285,68,134252
Richmond Valley,1188,1493,1629,1363,1209,1121,1172,1120,1211,1404,1406,1622,1709,1706,1588,1095,767,496,218,42,8,23565
Ryde,7267,7416,6283,5895,8607,10938,12783,11908,9359,7907,7329,7308,6680,5692,4802,3200,2640,1760,1014,298,33,129123
Shellharbour,4591,4868,5161,4813,4593,4787,4799,4785,4554,4958,4718,4888,4781,4098,3730,2604,1854,1063,484,142,6,76271
Shoalhaven,5448,5839,6050,5461,4756,5362,5669,5665,5465,5900,6397,7366,8726,8709,8373,5936,3897,2182,1051,244,28,108531
Singleton,1518,1778,1782,1746,1545,1572,1647,1564,1462,1635,1704,1619,1462,1181,974,648,383,216,102,29,6,24577
Snowy Monaro,1005,1159,1390,1200,1152,1460,1349,1296,1181,1448,1564,1570,1614,1273,1175,811,538,297,132,45,4,21666
Snowy Valleys,827,930,984,824,659,723,743,859,835,911,925,1050,1159,1001,912,689,459,250,117,28,4,14891
Strathfield,2350,2329,2089,2062,4601,5842,5246,3967,2673,2342,2195,2319,2074,1695,1275,979,740,505,250,60,11,45593
Sutherland,13312,14389,14824,14027,12947,12623,13797,15234,15347,16490,15413,14614,13958,12113,10827,8317,5538,3660,2133,553,87,230211
Sydney,7460,4766,3806,5287,21572,34467,33637,23614,15841,12046,10800,9599,8347,6726,5656,3600,2379,1301,575,148,13,211632
Tamworth,3829,4337,4538,4102,3316,3918,4062,3835,3519,3694,3764,3809,3832,3528,3242,2413,1763,970,471,123,16,63070
Temora,321,351,423,361,286,220,294,276,286,357,352,422,440,427,441,312,226,131,89,19,3,6034
Tenterfield,265,302,384,312,243,225,255,253,316,399,423,493,701,719,672,390,242,124,65,21,0,6810
The Hills,11078,14738,14852,13071,11436,8835,10497,15214,15616,14419,12706,11105,9903,8981,7876,5466,3254,1755,821,232,21,191876
Tweed,4623,5544,5917,5118,4096,4102,4768,5623,5541,6146,5966,6584,7432,7080,6533,4983,3486,2309,1144,342,49,97392
Upper Hunter,757,910,984,822,671,746,910,876,834,951,834,935,998,893,755,549,397,252,119,30,3,14229
Upper Lachlan,470,511,430,452,330,340,383,434,405,519,602,773,734,630,603,407,263,155,60,10,0,8514
Uralla,299,341,413,360,242,267,278,294,310,386,439,458,494,442,403,273,144,69,40,6,0,5971
Wagga Wagga,4578,4554,4616,4627,5171,4982,4712,4449,3780,3766,3789,3665,3729,3288,2812,2038,1491,967,459,128,17,67609
Walcha,166,185,159,147,117,133,139,128,134,184,178,220,240,255,230,183,139,50,24,4,0,3016
Walgett,327,340,303,278,228,310,318,252,262,282,373,370,465,391,323,223,126,54,26,4,0,5253
Warren,166,160,167,132,121,105,161,113,128,131,171,182,201,135,168,123,85,50,27,4,3,2550
Warrumbungle,473,484,594,523,325,429,428,420,404,498,603,714,694,724,706,527,346,223,96,20,0,9225
Waverley,3774,3463,3586,2899,3322,7459,8654,6476,5143,4755,4106,3282,2845,2286,2338,1632,1218,768,450,150,12,68605
Weddin,165,192,216,197,119,143,149,144,190,210,234,291,288,283,301,219,133,79,54,12,0,3608
Wentworth,482,492,459,422,353,386,417,453,377,488,477,561,539,497,447,282,185,81,42,14,0,7453
Willoughby,3946,5182,5151,4193,3951,4358,5015,6366,6365,5837,4993,4411,3753,3412,3113,2090,1516,1085,625,223,26,75613
Wingecarribee,2567,2880,3355,2976,2155,2169,2580,2646,2688,3253,3499,3572,3664,3751,4021,3143,2022,1133,463,140,24,52709
Wollondilly,3765,3926,4026,3712,3188,3081,3454,3550,3348,3759,3587,3215,3096,2682,2320,1517,944,495,191,73,5,53961
Wollongong,12083,12688,12932,13032,15784,14450,13971,13580,13176,13780,13057,13285,12785,10980,9926,7601,5710,3567,1706,432,44,214564
Woollahra,2437,2636,2885,2670,2918,4184,4222,3812,3404,3451,3537,3228,2945,2622,2948,2298,1586,969,522,211,24,53496
Yass Valley,928,1195,1298,1133,780,739,853,1045,1132,1334,1372,1170,1132,993,904,574,365,194,119,19,3,17281